State,Participation,Evidence-Based Reading and Writing,Math,Total,,State,Participation,Evidence-Based Reading and Writing,Math,Total,,,,,
Alabama,6%,595,571,1166,,Alabama,6%,595,571,1166,,TRUE,TRUE,TRUE,TRUE
Alaska,43%,562,544,1106,,Alaska,43%,562,544,1106,,TRUE,TRUE,TRUE,TRUE
Arizona,29%,577,572,1149,,Arizona,29%,577,572,1149,,TRUE,TRUE,TRUE,TRUE
Arkansas,5%,592,576,1169,,Arkansas,5%,592,576,1169,,TRUE,TRUE,TRUE,TRUE
California,60%,540,536,1076,,California,60%,540,536,1076,,TRUE,TRUE,TRUE,TRUE
Colorado,100%,519,506,1025,,Colorado,100%,519,506,1025,,TRUE,TRUE,TRUE,TRUE
Connecticut,100%,535,519,1053,,Connecticut,100%,535,519,1053,,TRUE,TRUE,TRUE,TRUE
Delaware,100%,505,492,998,,Delaware,100%,505,492,998,,TRUE,TRUE,TRUE,TRUE
District of Columbia,92%,497,480,977,,District of Columbia,92%,497,480,977,,TRUE,TRUE,TRUE,TRUE
Florida,56%,550,549,1099,,Florida,56%,522,493,1014,,TRUE,FALSE,FALSE,FALSE
Georgia,70%,542,522,1064,,Georgia,70%,542,522,1064,,TRUE,TRUE,TRUE,TRUE
Hawaii,56%,480,530,1010,,Hawaii,56%,550,549,1099,,TRUE,FALSE,FALSE,FALSE
Idaho,100%,508,493,1001,,Idaho,100%,508,493,1001,,TRUE,TRUE,TRUE,TRUE
Illinois,99%,513,506,1019,,Illinois,99%,513,506,1019,,TRUE,TRUE,TRUE,TRUE
Indiana,63%,542,532,1074,,Indiana,63%,546,539,1086,,TRUE,FALSE,FALSE,FALSE
Iowa,3%,634,631,1265,,Iowa,3%,634,631,1265,,TRUE,TRUE,TRUE,TRUE
Kansas,4%,633,631,1265,,Kansas,4%,633,631,1265,,TRUE,TRUE,TRUE,TRUE
Kentucky,4%,630,618,1248,,Kentucky,4%,630,618,1248,,TRUE,TRUE,TRUE,TRUE
Louisiana,4%,615,595,1210,,Louisiana,4%,615,595,1210,,TRUE,TRUE,TRUE,TRUE
Maine,99%,512,501,1013,,Maine,99%,512,501,1013,,TRUE,TRUE,TRUE,TRUE
Maryland,76%,545,535,1080,,Maryland,76%,545,535,1080,,TRUE,TRUE,TRUE,TRUE
Massachusetts,80%,562,563,1125,,Massachusetts,80%,562,563,1125,,TRUE,TRUE,TRUE,TRUE
Michigan,100%,511,499,1011,,Michigan,100%,511,499,1011,,TRUE,TRUE,TRUE,TRUE
Minnesota,4%,643,655,1298,,Minnesota,4%,643,655,1298,,TRUE,TRUE,TRUE,TRUE
Mississippi,3%,630,606,1236,,Mississippi,3%,630,606,1236,,TRUE,TRUE,TRUE,TRUE
Missouri,4%,633,629,1262,,Missouri,4%,633,629,1262,,TRUE,TRUE,TRUE,TRUE
Montana,10%,606,592,1198,,Montana,10%,606,592,1198,,TRUE,TRUE,TRUE,TRUE
Nebraska,3%,629,623,1252,,Nebraska,3%,629,623,1252,,TRUE,TRUE,TRUE,TRUE
Nevada,23%,574,566,1140,,Nevada,23%,574,566,1140,,TRUE,TRUE,TRUE,TRUE
New Hampshire,96%,535,528,1063,,New Hampshire,96%,535,528,1063,,TRUE,TRUE,TRUE,TRUE
New Jersey,82%,547,547,1094,,New Jersey,82%,547,547,1094,,TRUE,TRUE,TRUE,TRUE
New Mexico,16%,552,540,1093,,New Mexico,16%,552,540,1093,,TRUE,TRUE,TRUE,TRUE
New York,79%,534,534,1068,,New York,79%,534,534,1068,,TRUE,TRUE,TRUE,TRUE
North Carolina,52%,554,543,1098,,North Carolina,52%,554,543,1098,,TRUE,TRUE,TRUE,TRUE
North Dakota,2%,640,643,1283,,North Dakota,2%,640,643,1283,,TRUE,TRUE,TRUE,TRUE
Ohio,18%,552,547,1099,,Ohio,8%,552,547,1099,,FALSE,TRUE,TRUE,TRUE
Oklahoma,8%,541,521,1062,,Oklahoma,18%,541,521,1062,,FALSE,TRUE,TRUE,TRUE
Oregon,48%,564,553,1117,,Oregon,48%,564,553,1117,,TRUE,TRUE,TRUE,TRUE
Pennsylvania,70%,547,539,1086,,Pennsylvania,70%,547,539,1086,,TRUE,TRUE,TRUE,TRUE
Rhode Island,97%,513,505,1018,,Rhode Island,97%,513,505,1018,,TRUE,TRUE,TRUE,TRUE
South Carolina,55%,547,523,1070,,South Carolina,55%,547,523,1070,,TRUE,TRUE,TRUE,TRUE
South Dakota,3%,622,618,1240,,South Dakota,3%,622,618,1241,,TRUE,TRUE,TRUE,FALSE
Tennessee,6%,624,607,1231,,Tennessee,6%,624,607,1231,,TRUE,TRUE,TRUE,TRUE
Texas,66%,520,512,1032,,Texas,66%,520,512,1032,,TRUE,TRUE,TRUE,TRUE
Utah,4%,480,530,1010,,Utah,4%,618,612,1230,,TRUE,FALSE,FALSE,FALSE
Vermont,64%,565,554,1120,,Vermont,64%,565,554,1120,,TRUE,TRUE,TRUE,TRUE
Virginia,68%,567,550,1117,,Virginia,68%,567,550,1117,,TRUE,TRUE,TRUE,TRUE
Washington,69%,543,538,1081,,Washington,69%,543,538,1081,,TRUE,TRUE,TRUE,TRUE
West Virginia,28%,513,486,999,,West Virginia,28%,513,486,999,,TRUE,TRUE,TRUE,TRUE
Wisconsin,3%,641,653,1294,,Wisconsin,3%,641,653,1294,,TRUE,TRUE,TRUE,TRUE
Wyoming,3%,633,625,1257,,Wyoming,3%,633,625,1257,,TRUE,TRUE,TRUE,TRUE
